Latitude (decimal degrees):	51.339
Longitude (decimal degrees):	-1.262
Elevation (m):	98
Radiation database:	PVGIS-SARAH3


Slope: 30 deg. 
Azimuth: 15 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.2
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050704:2010,12.03,13.58,0.69,13.31,4.34,0.0
20050704:2110,0.0,0.0,0.0,12.64,4.07,0.0
20050704:2210,0.0,0.0,0.0,12.16,3.93,0.0
20050704:2310,0.0,0.0,0.0,11.62,3.93,0.0
20050705:0010,0.0,0.0,0.0,11.07,3.79,0.0
20050705:0110,0.0,0.0,0.0,10.58,3.45,0.0
20050705:0210,0.0,0.0,0.0,10.12,3.1,0.0
20050705:0310,0.0,0.0,0.0,9.65,2.97,0.0
20050705:0410,0.0,0.0,0.0,9.41,3.03,0.0
20050705:0510,57.38,34.39,9.06,9.83,3.03,0.0
20050705:0610,208.64,94.07,17.85,11.15,3.1,0.0
20050705:0710,522.72,218.24,27.1,12.71,3.45,0.0
20050705:0810,682.46,270.45,36.44,14.44,4.55,0.0
20050705:0910,868.13,340.29,45.45,15.6,5.31,0.0
20050705:1010,313.82,134.33,53.45,16.1,5.86,0.0
20050705:1110,463.55,189.2,59.3,15.64,6.55,0.0
20050705:1210,336.61,141.9,61.46,14.82,6.55,0.0
20050705:1310,411.84,169.33,59.07,14.43,6.21,0.0
20050705:1410,242.46,106.9,53.06,14.34,6.0,0.0
20050705:1510,329.02,139.06,44.98,14.56,5.79,0.0
20050705:1610,179.07,83.25,35.94,14.84,6.83,0.0
20050705:1710,204.64,92.71,26.6,14.15,5.86,0.0
20050705:1810,235.9,104.9,17.37,14.49,4.9,0.0
20050705:1910,116.74,59.79,8.6,14.52,3.79,0.0
20050705:2010,1.89,7.24,0.64,14.46,3.59,0.0
20050705:2110,0.0,0.0,0.0,13.83,3.86,0.0
20050705:2210,0.0,0.0,0.0,13.09,3.93,0.0
20050705:2310,0.0,0.0,0.0,12.81,3.86,0.0
20050706:0010,0.0,0.0,0.0,12.62,3.72,0.0
20050706:0110,0.0,0.0,0.0,12.29,3.52,0.0
20050706:0210,0.0,0.0,0.0,12.21,3.52,0.0
20050706:0310,0.0,0.0,0.0,11.97,3.38,0.0
20050706:0410,0.0,0.0,0.0,11.86,3.38,0.0
20050706:0510,15.52,15.39,8.96,11.94,3.45,0.0
20050706:0610,181.41,84.01,17.76,12.86,3.31,0.0
20050706:0710,409.95,170.25,27.0,14.28,5.52,0.0
20050706:0810,643.97,255.86,36.34,15.03,5.79,0.0
20050706:0910,595.9,238.51,45.35,15.77,5.79,0.0
20050706:1010,674.75,269.1,53.34,16.65,5.66,0.0
20050706:1110,1933.79,770.82,59.2,17.34,5.79,0.0
20050706:1210,912.48,359.84,61.36,17.58,6.41,0.0
20050706:1310,0.0,0.0,0.0,17.53,6.97,0.0
20050706:1410,981.73,384.78,53.0,17.47,7.24,0.0
20050706:1510,279.97,122.03,44.93,16.92,6.83,0.0
20050706:1610,632.13,252.2,35.9,16.56,6.62,0.0
20050706:1710,439.52,180.96,26.55,16.4,6.62,0.0
20050706:1810,506.75,217.24,17.32,15.81,6.14,0.0
20050706:1910,105.25,54.95,8.55,15.13,5.72,0.0
20050706:2010,0.0,3.62,0.58,14.32,5.31,0.0
20050706:2110,0.0,0.0,0.0,13.45,5.17,0.0
20050706:2210,0.0,0.0,0.0,12.95,5.38,0.0
20050706:2310,0.0,0.0,0.0,12.63,5.52,0.0
20050707:0010,0.0,0.0,0.0,12.27,5.66,0.0
20050707:0110,0.0,0.0,0.0,11.93,5.86,0.0
20050707:0210,0.0,0.0,0.0,11.72,6.07,0.0
20050707:0310,0.0,0.0,0.0,11.67,6.0,0.0
20050707:0410,0.0,0.0,0.0,11.7,6.07,0.0
20050707:0510,24.51,19.91,8.85,11.83,6.0,0.0
20050707:0610,119.14,59.6,17.65,12.25,5.1,0.0
20050707:0710,388.0,160.71,26.9,13.4,8.14,0.0
20050707:0810,773.79,302.32,36.24,14.48,8.14,0.0
20050707:0910,1221.6,469.26,45.25,15.17,7.86,0.0
20050707:1010,312.19,133.38,53.24,15.88,7.38,0.0
20050707:1110,424.26,175.01,59.09,16.23,7.24,0.0
20050707:1210,395.81,164.6,61.26,16.3,7.03,0.0
20050707:1310,405.41,168.38,58.9,16.12,5.45,0.0
20050707:1410,297.15,128.65,52.93,17.02,5.66,0.0
20050707:1510,590.02,239.05,44.88,18.01,5.17,0.0
20050707:1610,287.1,125.82,35.85,18.49,4.69,0.0
20050707:1710,837.66,336.12,26.5,18.6,4.48,0.0
20050707:1810,463.42,200.65,17.27,17.85,4.28,0.0
20050707:1910,37.73,26.49,8.49,16.14,3.52,0.0
20050707:2010,0.0,1.81,0.51,15.51,3.38,0.0
20050707:2110,0.0,0.0,0.0,15.1,3.38,0.0
20050707:2210,0.0,0.0,0.0,14.47,3.45,0.0
20050707:2310,0.0,0.0,0.0,14.02,3.38,0.0
20050708:0010,0.0,0.0,0.0,13.5,3.17,0.0
20050708:0110,0.0,0.0,0.0,12.74,2.97,0.0
20050708:0210,0.0,0.0,0.0,12.2,2.9,0.0
20050708:0310,0.0,0.0,0.0,11.66,2.97,0.0
20050708:0410,0.0,0.0,0.0,11.32,3.17,0.0
20050708:0510,50.53,31.68,8.74,11.42,3.17,0.0
20050708:0610,116.42,68.34,17.55,12.5,3.38,0.0
20050708:0710,519.65,235.69,26.79,14.0,3.59,0.0
20050708:0810,1057.92,420.6,36.14,15.47,3.66,0.0
20050708:0910,1525.82,603.45,45.14,16.88,4.0,0.0
20050708:1010,1434.27,568.19,53.12,18.1,4.83,0.0
20050708:1110,2090.18,849.48,58.97,19.06,5.31,0.0
20050708:1210,1497.22,597.36,61.15,19.31,5.38,0.0
20050708:1310,1180.74,469.32,58.81,19.03,5.03,0.0
20050708:1410,1009.79,401.13,52.86,18.66,4.83,0.0
20050708:1510,1914.37,773.89,44.82,18.09,4.28,0.0
20050708:1610,1171.39,463.1,35.79,18.14,4.34,0.0
20050708:1710,1156.35,463.89,26.45,18.12,4.28,0.0
20050708:1810,568.64,254.76,17.21,18.21,4.28,0.0
20050708:1910,131.1,72.8,8.43,17.69,3.24,0.0
20050708:2010,8.61,11.77,0.44,16.96,3.17,0.0
20050708:2110,0.0,0.0,0.0,16.07,3.03,0.0
20050708:2210,0.0,0.0,0.0,15.29,3.1,0.0
20050708:2310,0.0,0.0,0.0,14.56,3.24,0.0
20050709:0010,0.0,0.0,0.0,13.8,3.38,0.0
20050709:0110,0.0,0.0,0.0,13.1,3.38,0.0
20050709:0210,0.0,0.0,0.0,12.75,3.38,0.0
20050709:0310,0.0,0.0,0.0,12.51,3.45,0.0
20050709:0410,0.0,0.0,0.0,12.25,3.38,0.0
20050709:0510,52.35,32.58,8.63,12.49,4.0,0.0
20050709:0610,201.02,94.82,17.44,13.29,5.1,0.0
20050709:0710,377.28,157.37,26.68,13.51,5.17,0.0
20050709:0810,708.7,280.11,36.03,14.42,4.9,0.0
20050709:0910,805.41,317.25,45.02,15.61,4.76,0.0
20050709:1010,499.14,204.33,53.01,17.13,4.76,0.0
20050709:1110,692.8,278.57,58.85,18.15,4.69,0.0
20050709:1210,899.81,359.25,61.03,18.93,4.76,0.0
20050709:1310,1359.58,544.65,58.71,19.32,4.28,0.0
20050709:1410,1640.48,664.72,52.78,19.73,4.0,0.0
20050709:1510,1769.15,718.51,44.75,20.31,4.34,0.0
20050709:1610,1538.34,617.7,35.73,20.44,4.62,0.0
20050709:1710,1196.19,486.2,26.38,20.64,4.41,0.0
20050709:1810,564.32,257.49,17.15,20.4,3.52,0.0
20050709:1910,102.11,66.33,8.36,19.15,2.9,0.0
20050709:2010,10.08,12.67,0.36,17.94,2.69,0.0
20050709:2110,0.0,0.0,0.0,16.68,2.55,0.0
20050709:2210,0.0,0.0,0.0,15.9,2.55,0.0
20050709:2310,0.0,0.0,0.0,15.3,2.48,0.0
20050710:0010,0.0,0.0,0.0,14.8,2.34,0.0
20050710:0110,0.0,0.0,0.0,14.42,2.41,0.0
20050710:0210,0.0,0.0,0.0,14.16,2.48,0.0
20050710:0310,0.0,0.0,0.0,13.87,2.41,0.0
20050710:0410,0.0,0.0,0.0,13.5,2.41,0.0
20050710:0510,49.95,31.68,8.51,13.55,2.55,0.0
20050710:0610,134.85,73.98,17.32,14.63,2.76,0.0
20050710:0710,503.78,227.15,26.57,16.67,3.24,0.0
20050710:0810,1053.57,426.08,35.91,18.61,3.52,0.0
20050710:0910,1574.14,635.67,44.91,20.41,3.79,0.0
20050710:1010,1334.11,565.69,52.89,21.95,0.0,0.0
20050710:1110,2041.15,936.41,58.73,23.22,0.0,0.0
20050710:1210,2369.7,1031.13,60.91,24.27,3.86,0.0
20050710:1310,2369.12,1037.41,58.61,25.03,3.79,0.0
20050710:1410,2275.14,987.63,52.69,25.48,3.93,0.0
20050710:1510,2018.46,858.13,44.67,25.65,4.0,0.0
20050710:1610,1644.58,684.13,35.66,25.47,4.0,0.0
20050710:1710,1133.57,472.04,26.32,25.01,3.79,0.0
20050710:1810,556.06,259.1,17.08,24.44,3.17,0.0
20050710:1910,99.84,66.19,8.28,23.52,2.83,0.0
20050710:2010,8.32,11.77,0.28,21.79,2.83,0.0
20050710:2110,0.0,0.0,0.0,20.25,2.76,0.0
20050710:2210,0.0,0.0,0.0,19.06,2.62,0.0
20050710:2310,0.0,0.0,0.0,17.92,2.48,0.0
20050711:0010,0.0,0.0,0.0,16.86,2.34,0.0
20050711:0110,0.0,0.0,0.0,15.92,2.21,0.0
20050711:0210,0.0,0.0,0.0,15.07,2.21,0.0
20050711:0310,0.0,0.0,0.0,14.44,2.21,0.0
20050711:0410,0.0,0.0,0.0,14.02,2.28,0.0
20050711:0510,49.76,31.68,8.39,14.19,2.28,0.0
20050711:0610,99.07,61.65,17.2,15.91,2.21,0.0
20050711:0710,486.34,225.02,26.45,18.34,2.41,0.0
20050711:0810,1035.97,423.97,35.79,20.12,2.83,0.0
20050711:0910,1518.4,618.51,44.79,21.66,3.31,0.0
20050711:1010,1432.99,585.59,52.76,22.83,3.79,0.0
20050711:1110,2189.79,932.13,58.59,23.74,4.0,0.0
20050711:1210,2139.49,913.56,60.78,24.4,4.07,0.0
20050711:1310,2021.7,857.14,58.5,24.98,4.34,0.0
20050711:1410,2057.79,872.05,52.6,25.17,4.48,0.0
20050711:1510,1861.6,776.88,44.59,25.03,4.55,0.0
20050711:1610,1538.5,631.14,35.59,24.65,4.62,0.0
20050711:1710,1122.34,463.02,26.24,23.97,4.41,0.0
20050711:1810,557.44,258.53,17.0,23.28,4.14,0.0
20050711:1910,88.42,62.62,8.2,22.93,3.86,0.0
20050711:2010,4.16,9.05,0.18,21.38,3.66,0.0
20050711:2110,0.0,0.0,0.0,19.97,3.31,0.0
20050711:2210,0.0,0.0,0.0,18.84,2.9,0.0
20050711:2310,0.0,0.0,0.0,17.85,2.62,0.0
20050712:0010,0.0,0.0,0.0,16.97,2.41,0.0
20050712:0110,0.0,0.0,0.0,16.2,2.34,0.0
20050712:0210,0.0,0.0,0.0,15.47,2.28,0.0
20050712:0310,0.0,0.0,0.0,14.8,2.28,0.0
20050712:0410,0.0,0.0,0.0,14.2,2.28,0.0
20050712:0510,37.63,26.25,8.26,14.06,2.55,0.0
20050712:0610,200.19,92.67,17.08,14.4,2.83,0.0
20050712:0710,500.61,221.46,26.33,14.97,3.03,0.0
20050712:0810,1050.53,420.41,35.67,15.9,3.1,0.0
20050712:0910,1557.12,621.98,44.66,17.35,3.17,0.0
20050712:1010,1447.78,583.41,52.63,18.85,3.1,0.0
20050712:1110,2192.06,927.21,58.46,20.01,3.03,0.0
20050712:1210,2347.49,1016.78,60.65,21.17,2.97,0.0
20050712:1310,2391.14,1046.95,58.38,22.19,2.97,0.0
20050712:1410,2279.58,992.09,52.5,23.06,2.97,0.0
20050712:1510,2000.38,852.15,44.51,23.67,2.97,0.0
20050712:1610,1629.06,678.31,35.51,23.79,2.97,0.0
20050712:1710,1163.07,484.06,26.17,23.66,3.03,0.0
20050712:1810,571.14,266.97,16.92,23.32,2.97,0.0
20050712:1910,89.66,63.12,8.11,23.25,1.31,0.0
20050712:2010,6.88,10.86,0.09,21.69,1.59,0.0
20050712:2110,0.0,0.0,0.0,19.47,1.79,0.0
20050712:2210,0.0,0.0,0.0,17.75,1.72,0.0
20050712:2310,0.0,0.0,0.0,16.58,1.86,0.0
20050713:0010,0.0,0.0,0.0,15.68,1.86,0.0
20050713:0110,0.0,0.0,0.0,14.93,1.79,0.0
20050713:0210,0.0,0.0,0.0,14.35,1.72,0.0
20050713:0310,0.0,0.0,0.0,13.92,1.79,0.0
20050713:0410,0.0,0.0,0.0,13.6,1.72,0.0
20050713:0510,47.81,30.77,8.14,13.69,1.52,0.0
20050713:0610,124.13,69.11,16.95,15.6,1.24,0.0
20050713:0710,480.99,221.81,26.21,17.92,1.1,0.0
20050713:0810,1023.94,425.39,35.55,20.2,1.03,0.0
20050713:0910,1468.38,614.16,44.53,22.07,1.1,0.0
20050713:1010,1391.42,584.3,52.49,23.53,1.38,0.0
20050713:1110,2083.87,922.62,58.31,24.76,1.72,0.0
20050713:1210,1968.22,869.96,60.51,25.38,1.66,0.0
20050713:1310,1729.02,757.52,58.25,25.95,1.24,0.0
20050713:1410,1410.27,603.9,52.39,26.02,1.17,0.0
20050713:1510,1100.45,464.47,44.41,25.98,1.03,0.0
20050713:1610,969.41,409.5,35.42,25.86,0.48,0.0
20050713:1710,1044.13,444.44,26.08,24.55,0.55,0.0
20050713:1810,463.74,210.48,16.83,23.64,1.17,0.0
20050713:1910,114.85,68.19,8.02,24.66,1.1,0.0
20050713:2010,0.0,0.0,-0.01,22.92,1.79,0.0
20050713:2110,0.0,0.0,0.0,21.36,1.79,0.0
20050713:2210,0.0,0.0,0.0,20.13,1.66,0.0
20050713:2310,0.0,0.0,0.0,19.07,1.52,0.0
20050714:0010,0.0,0.0,0.0,18.19,1.38,0.0
20050714:0110,0.0,0.0,0.0,17.68,1.24,0.0
20050714:0210,0.0,0.0,0.0,17.84,0.97,0.0
20050714:0310,0.0,0.0,0.0,18.04,0.28,0.0
20050714:0410,0.0,0.0,0.0,17.3,0.48,0.0
20050714:0510,45.15,29.87,8.0,16.03,1.03,0.0
20050714:0610,150.91,78.44,16.83,17.88,1.1,0.0
20050714:0710,477.86,218.08,26.08,19.85,1.1,0.0
20050714:0810,988.13,411.39,35.42,21.74,1.52,0.0
20050714:0910,1475.23,614.85,44.4,23.43,1.93,0.0
20050714:1010,1368.96,570.63,52.35,24.71,2.48,0.0
20050714:1110,2140.19,929.63,58.16,25.72,3.24,0.0
20050714:1210,2306.18,1013.49,60.36,26.2,3.66,0.0
20050714:1310,2348.19,1032.25,58.12,26.39,3.93,0.0
20050714:1410,2227.2,965.48,52.28,26.62,4.21,0.0
20050714:1510,2000.61,848.92,44.32,26.48,4.41,0.0
20050714:1610,1645.28,684.0,35.33,26.24,4.48,0.0
20050714:1710,1177.09,490.29,25.99,25.52,4.41,0.0
20050714:1810,564.06,264.31,16.74,24.42,3.79,0.0
20050714:1910,88.19,61.77,7.92,22.94,3.59,0.0
20050714:2010,0.0,0.0,-0.12,21.29,3.31,0.0
20050714:2110,0.0,0.0,0.0,19.92,3.1,0.0
20050714:2210,0.0,0.0,0.0,19.01,2.97,0.0
20050714:2310,0.0,0.0,0.0,18.27,2.97,0.0
20050715:0010,0.0,0.0,0.0,17.65,3.03,0.0
20050715:0110,0.0,0.0,0.0,17.01,3.1,0.0
20050715:0210,0.0,0.0,0.0,16.33,3.03,0.0
20050715:0310,0.0,0.0,0.0,15.51,2.97,0.0
20050715:0410,0.0,0.0,0.0,14.96,2.83,0.0
20050715:0510,4.42,9.05,7.86,15.03,2.69,0.0
20050715:0610,104.86,54.87,16.69,16.1,3.72,0.0
20050715:0710,417.47,177.44,25.95,17.66,3.93,0.0
20050715:0810,395.68,167.3,35.29,19.16,4.28,0.0
20050715:0910,874.66,351.87,44.26,20.61,4.48,0.0
20050715:1010,1200.16,482.74,52.21,21.29,4.48,0.0
20050715:1110,1781.73,732.78,58.01,22.49,4.62,0.0
20050715:1210,2060.35,858.62,60.21,23.16,5.17,0.0
20050715:1310,1417.22,576.51,57.98,23.71,5.52,0.0
20050715:1410,1377.89,560.07,52.16,23.96,5.52,0.0
20050715:1510,1343.58,544.94,44.21,23.78,5.24,0.0
20050715:1610,192.54,91.76,35.23,23.68,5.03,0.0
20050715:1710,1006.46,412.65,25.89,23.32,4.55,0.0
20050715:1810,555.74,255.93,16.64,22.59,4.0,0.0
20050715:1910,85.63,60.81,7.81,21.57,3.17,0.0
20050715:2010,0.0,0.0,-0.24,20.14,3.03,0.0
20050715:2110,0.0,0.0,0.0,18.84,3.03,0.0
20050715:2210,0.0,0.0,0.0,17.71,2.97,0.0
20050715:2310,0.0,0.0,0.0,16.94,2.62,0.0
20050716:0010,0.0,0.0,0.0,16.25,2.62,0.0
20050716:0110,0.0,0.0,0.0,15.5,2.9,0.0
20050716:0210,0.0,0.0,0.0,14.68,2.97,0.0
20050716:0310,0.0,0.0,0.0,13.8,2.69,0.0
20050716:0410,0.0,0.0,0.0,12.97,2.55,0.0
20050716:0510,39.94,27.15,7.72,12.65,2.69,0.0
20050716:0610,197.44,91.33,16.56,13.48,2.97,0.0
20050716:0710,495.07,219.38,25.82,14.84,3.17,0.0
20050716:0810,1052.38,421.84,35.15,16.21,3.24,0.0
20050716:0910,1549.89,620.49,44.12,17.46,3.03,0.0
20050716:1010,1443.97,582.19,52.06,18.66,2.97,0.0
20050716:1110,2182.24,921.44,57.85,19.66,3.03,0.0
20050716:1210,2398.59,1035.39,60.05,20.47,3.17,0.0
20050716:1310,2295.04,985.96,57.84,21.13,3.24,0.0
20050716:1410,2250.5,963.92,52.04,21.55,3.24,0.0
20050716:1510,2028.13,853.28,44.1,21.8,3.24,0.0
20050716:1610,1699.62,701.75,35.13,21.91,3.17,0.0
20050716:1710,1197.38,494.09,25.79,21.73,3.03,0.0
20050716:1810,572.1,264.54,16.53,21.35,2.83,0.0
20050716:1910,85.7,60.41,7.7,20.44,2.28,0.0
20050716:2010,0.0,0.0,-0.36,19.2,1.86,0.0
20050716:2110,0.0,0.0,0.0,17.95,1.59,0.0
20050716:2210,0.0,0.0,0.0,16.43,1.52,0.0
20050716:2310,0.0,0.0,0.0,15.11,1.59,0.0
20050717:0010,0.0,0.0,0.0,14.15,1.72,0.0
20050717:0110,0.0,0.0,0.0,13.47,1.93,0.0
20050717:0210,0.0,0.0,0.0,12.95,2.07,0.0
20050717:0310,0.0,0.0,0.0,12.43,2.0,0.0
20050717:0410,0.0,0.0,0.0,11.88,1.79,0.0
20050717:0510,38.11,26.25,7.58,11.66,1.52,0.0
20050717:0610,91.65,55.23,16.42,13.83,1.24,0.0
20050717:0710,475.84,219.01,25.68,16.33,1.03,0.0
20050717:0810,1032.77,427.57,35.02,18.31,0.55,0.0
20050717:0910,1497.92,626.47,43.98,20.04,0.55,0.0
20050717:1010,1406.5,584.71,51.9,21.65,1.45,0.0
20050717:1110,2112.06,929.65,57.69,22.79,1.59,0.0
20050717:1210,2247.46,1013.77,59.88,23.69,1.52,0.0
20050717:1310,2288.99,1045.56,57.69,24.46,1.45,0.0
20050717:1410,2203.42,990.94,51.91,24.97,1.72,0.0
20050717:1510,1950.56,844.9,43.98,25.3,2.34,0.0
20050717:1610,1623.39,681.83,35.02,25.22,2.9,0.0
20050717:1710,1160.86,485.19,25.68,24.65,3.17,0.0
20050717:1810,556.16,259.99,16.42,23.81,3.31,0.0
20050717:1910,96.74,62.71,7.58,22.6,3.03,0.0
20050717:2010,0.0,0.0,-0.49,20.79,2.69,0.0
20050717:2110,0.0,0.0,0.0,19.21,2.69,0.0
20050717:2210,0.0,0.0,0.0,18.06,2.69,0.0
20050717:2310,0.0,0.0,0.0,17.11,2.48,0.0
20050718:0010,0.0,0.0,0.0,16.16,2.07,0.0
20050718:0110,0.0,0.0,0.0,15.36,1.86,0.0
20050718:0210,0.0,0.0,0.0,14.55,1.86,0.0
20050718:0310,0.0,0.0,0.0,13.88,2.14,0.0
20050718:0410,0.0,0.0,0.0,13.43,2.21,0.0
20050718:0510,39.78,27.15,7.43,13.32,1.72,0.0
20050718:0610,152.7,76.54,16.27,14.52,1.45,0.0
20050718:0710,478.98,216.07,25.54,16.59,2.41,0.0
20050718:0810,1001.47,403.79,34.87,18.27,3.86,0.0
20050718:0910,982.75,391.11,43.83,19.48,4.97,0.0
20050718:1010,1243.55,495.47,51.74,20.3,5.31,0.0
20050718:1110,1861.92,757.7,57.52,20.77,5.1,0.0
20050718:1210,2350.82,988.05,59.71,21.45,4.97,0.0
20050718:1310,1138.18,458.73,57.53,22.13,5.24,0.0
20050718:1410,913.98,367.87,51.77,21.88,6.0,0.0
20050718:1510,883.46,353.17,43.86,20.69,6.28,0.0
20050718:1610,620.32,251.45,34.9,19.54,5.93,0.0
20050718:1710,247.39,110.68,25.57,18.48,5.59,0.0
20050718:1810,402.02,173.67,16.3,17.47,5.66,0.0
20050718:1910,90.24,60.15,7.46,17.2,5.38,0.0
20050718:2010,0.0,0.0,-0.62,16.45,4.69,0.0
20050718:2110,0.0,0.0,0.0,15.78,4.48,0.0
20050718:2210,0.0,0.0,0.0,15.37,4.34,0.0
20050718:2310,0.0,0.0,0.0,14.72,4.07,0.0
20050719:0010,0.0,0.0,0.0,14.15,4.07,0.0
20050719:0110,0.0,0.0,0.0,13.94,4.07,0.0
20050719:0210,0.0,0.0,0.0,13.75,3.93,0.0
20050719:0310,0.0,0.0,0.0,13.42,3.79,0.0
20050719:0410,0.0,0.0,0.0,13.08,3.59,0.0
20050719:0510,35.9,25.34,7.28,12.81,3.45,0.0
20050719:0610,106.34,59.33,16.13,13.6,3.31,0.0
20050719:0710,478.66,218.48,25.4,14.62,4.62,0.0
20050719:0810,1049.73,416.47,34.73,15.81,4.97,0.0
20050719:0910,1443.62,563.65,43.68,16.96,5.86,0.0
20050719:1010,339.42,144.73,51.58,17.67,6.21,0.0
20050719:1110,681.31,272.94,57.34,18.09,6.34,0.0
20050719:1210,1322.21,519.87,59.53,18.52,6.9,0.0
20050719:1310,1931.65,767.54,57.37,19.11,7.72,0.0
20050719:1410,1796.19,710.89,51.62,19.41,7.72,0.0
20050719:1510,1615.36,636.53,43.73,19.63,7.52,0.0
20050719:1610,1013.76,399.65,34.78,19.12,6.41,0.0
20050719:1710,884.35,352.75,25.45,18.52,5.79,0.0
20050719:1810,320.61,140.28,16.18,18.16,5.59,0.0
20050719:1910,76.64,43.52,7.33,17.25,5.45,0.0
20050719:2010,0.0,0.0,-0.76,16.79,4.83,0.0
20050719:2110,0.0,0.0,0.0,16.19,4.34,0.0
20050719:2210,0.0,0.0,0.0,15.55,4.28,0.0
20050719:2310,0.0,0.0,0.0,15.05,4.21,0.0
20050720:0010,0.0,0.0,0.0,15.0,4.21,0.0
20050720:0110,0.0,0.0,0.0,15.19,4.41,0.0
20050720:0210,0.0,0.0,0.0,15.27,4.55,0.0
20050720:0310,0.0,0.0,0.0,15.15,4.55,0.0
20050720:0410,0.0,0.0,0.0,15.01,4.41,0.0
20050720:0510,33.54,24.44,7.12,14.95,4.21,0.0
20050720:0610,93.76,54.42,15.98,15.65,3.52,0.0
20050720:0710,402.72,170.8,25.25,16.66,4.97,0.0
20050720:0810,1054.69,420.62,34.58,17.52,5.86,0.0
20050720:0910,1352.86,528.99,43.53,18.44,6.9,0.0
20050720:1010,827.94,327.91,51.42,18.8,7.86,0.0
20050720:1110,1425.02,559.9,57.16,18.85,7.31,0.0
20050720:1210,595.26,241.22,59.35,19.01,7.17,0.0
20050720:1310,2357.54,960.83,57.2,19.39,6.76,0.0
20050720:1410,2283.65,933.3,51.47,20.52,6.55,0.0
20050720:1510,1938.34,782.5,43.6,20.9,6.14,0.0
20050720:1610,1662.69,665.7,34.65,20.98,5.86,0.0
20050720:1710,1124.22,453.93,25.32,20.62,5.38,0.0
20050720:1810,568.54,260.99,16.05,20.22,4.97,0.0
20050720:1910,112.99,64.07,7.19,19.32,4.55,0.0
20050720:2010,0.0,0.0,-0.91,17.98,4.07,0.0
20050720:2110,0.0,0.0,0.0,16.76,3.79,0.0
20050720:2210,0.0,0.0,0.0,15.76,3.59,0.0
20050720:2310,0.0,0.0,0.0,14.88,3.31,0.0
20050721:0010,0.0,0.0,0.0,14.07,2.97,0.0
20050721:0110,0.0,0.0,0.0,13.4,2.83,0.0
20050721:0210,0.0,0.0,0.0,12.9,2.83,0.0
20050721:0310,0.0,0.0,0.0,12.52,2.9,0.0
20050721:0410,0.0,0.0,0.0,12.38,2.97,0.0
20050721:0510,32.03,23.53,6.97,12.53,2.83,0.0
20050721:0610,107.97,58.79,15.83,13.71,2.69,0.0
20050721:0710,474.85,206.62,25.1,15.17,4.21,0.0
20050721:0810,919.2,365.25,34.43,16.04,4.41,0.0
20050721:0910,1483.78,583.4,43.37,16.81,4.62,0.0
20050721:1010,1387.55,549.49,51.25,18.2,4.76,0.0
20050721:1110,2032.06,833.76,56.98,20.29,4.76,0.0
20050721:1210,2297.34,966.22,59.16,21.3,4.62,0.0
20050721:1310,2314.59,982.45,57.02,22.28,4.48,0.0
20050721:1410,2250.08,950.75,51.32,22.71,4.55,0.0
20050721:1510,1734.85,711.7,43.45,22.93,4.62,0.0
20050721:1610,1263.23,511.04,34.52,23.22,4.76,0.0
20050721:1710,1084.13,443.72,25.19,22.78,4.69,0.0
20050721:1810,467.42,209.66,15.92,22.14,4.28,0.0
20050721:1910,86.59,57.83,7.05,20.25,4.0,0.0
20050721:2010,0.0,0.0,0.0,18.51,3.66,0.0
20050721:2110,0.0,0.0,0.0,17.09,3.52,0.0
20050721:2210,0.0,0.0,0.0,16.03,3.45,0.0
20050721:2310,0.0,0.0,0.0,15.12,3.1,0.0
20050722:0010,0.0,0.0,0.0,14.5,2.62,0.0
20050722:0110,0.0,0.0,0.0,14.03,2.34,0.0
20050722:0210,0.0,0.0,0.0,13.65,2.21,0.0
20050722:0310,0.0,0.0,0.0,13.34,2.14,0.0
20050722:0410,0.0,0.0,0.0,13.03,2.14,0.0
20050722:0510,22.46,19.01,6.8,13.19,2.21,0.0
20050722:0610,111.23,59.53,15.67,14.07,2.62,0.0
20050722:0710,420.48,178.1,24.95,14.88,3.17,0.0
20050722:0810,756.45,302.64,34.27,15.7,2.9,0.0
20050722:0910,1098.3,435.96,43.21,16.53,2.55,0.0
20050722:1010,1922.91,792.41,51.07,17.12,2.21,0.0
20050722:1110,436.86,182.57,56.79,17.57,2.0,0.0
20050722:1210,1277.06,517.15,58.97,18.09,1.93,0.0
20050722:1310,1051.65,424.06,56.84,18.5,2.14,0.0
20050722:1410,420.03,176.9,51.15,18.69,2.34,0.0
20050722:1510,1491.81,608.1,43.31,19.24,2.28,0.0
20050722:1610,814.53,329.7,34.38,19.56,2.21,0.0
20050722:1710,736.35,301.03,25.05,19.75,2.28,0.0
20050722:1810,473.7,212.22,15.78,19.66,2.07,0.0
20050722:1910,31.23,23.65,6.9,18.35,2.41,0.0
20050722:2010,0.0,0.0,0.0,17.77,1.66,0.0
20050722:2110,0.0,0.0,0.0,16.89,1.31,0.0
20050722:2210,0.0,0.0,0.0,16.37,1.17,0.0
20050722:2310,0.0,0.0,0.0,16.07,1.24,0.0
20050723:0010,0.0,0.0,0.0,15.73,1.45,0.0
20050723:0110,0.0,0.0,0.0,15.67,1.24,0.0
20050723:0210,0.0,0.0,0.0,15.48,1.1,0.0
20050723:0310,0.0,0.0,0.0,15.19,0.83,0.0
20050723:0410,0.0,0.0,0.0,14.99,0.48,0.0
20050723:0510,25.86,20.82,6.64,15.02,0.28,0.0
